C:\Anaconda\envs\tensorflow\python.exe G:/Projekte/GitHub/TensorFlow/TensorFlow/traicy/filters/DEBUG.py
Tue Apr 24 19:51:56 2018    FilterResult

         1783975 function calls (1771252 primitive calls) in 4.838 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:373(_calc_mode)
      719    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      718    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:47(_w_long)
      718    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:497(_code_to_bytecode)
     1436    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      849    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     5928    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     5928    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1440    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      719    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
   719/12    0.002    0.000    0.827    0.069 <frozen importlib._bootstrap_external>:672(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:735(source_to_code)
      719    0.004    0.000    0.184    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     3139    0.001    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      719    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      719    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      720    0.050    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      719    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:845(_cache_bytecode)
     1157    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:850(set_data)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
   130/95    0.000    0.000    0.176    0.002 <frozen importlib._bootstrap_external>:919(create_module)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
     1058    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:960(__init__)
