C:\Anaconda\envs\tensorflow\python.exe G:/Projekte/GitHub/TensorFlow/TensorFlow/traicy/cnn/DEBUG.py
Tue Apr 24 18:28:41 2018    restats

         3466457 function calls (3324954 primitive calls) in 4.748 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2092    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
     1277    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       60    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
     1277    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     1277    0.002    0.000    0.122    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     2554    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
     1388    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
    10566    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    10566    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     2554    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
  1277/10    0.003    0.000    1.857    0.186 <frozen importlib._bootstrap_external>:672(exec_module)
     1277    0.007    0.000    0.334    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     5651    0.003    0.000    0.260    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     1278    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:800(__init__)
     1277    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
     1277    0.091    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     1277    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     2282    0.002    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
   110/74    0.000    0.000    0.204    0.003 <frozen importlib._bootstrap_external>:919(create_module)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
     2060    0.001    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:960(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(_get_parent_path)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:980(_recalculate)
      222    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:993(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      103    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(AllCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(AllocationMaximum)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(BarrierTakeMany)
        1    0.000    0.000    0.000    0.000 <string>:5(BatchNormWithGlobalNormalizationGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(BatchSelfAdjointEigV2)
        1    0.000    0.000    0.000    0.000 <string>:5(BatchSvd)
        1    0.000    0.000    0.000    0.000 <string>:5(Box)
        1    0.000    0.000    0.000    0.000 <string>:5(Boxplot)
        1    0.000    0.000    0.000    0.000 <string>:5(BroadcastGradientArgs)
        1    0.000    0.000    0.000    0.000 <string>:5(CTCBeamSearchDecoder)
        1    0.000    0.000    0.000    0.000 <string>:5(CTCGreedyDecoder)
        1    0.000    0.000    0.000    0.000 <string>:5(CTCLoss)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(Components)
        1    0.000    0.000    0.000    0.000 <string>:5(ComputeAccidentalHits)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DenseToDenseSetOperation)
        1    0.000    0.000    0.000    0.000 <string>:5(DenseToSparseSetOperation)
        1    0.000    0.000    0.000    0.000 <string>:5(DeprecatedArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(DeprecatedOption)
        1    0.000    0.000    0.000    0.000 <string>:5(DeserializeManySparse)
        1    0.000    0.000    0.000    0.000 <string>:5(DeserializeSparse)
        1    0.000    0.000    0.000    0.000 <string>:5(EstimatorSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(EvalSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(ExtType)
        1    0.000    0.000    0.000    0.000 <string>:5(FakeQuantWithMinMaxVarsGradient)
        1    0.000    0.000    0.000    0.000 <string>:5(FakeQuantWithMinMaxVarsPerChannelGradient)
        1    0.000    0.000    0.000    0.000 <string>:5(FixedLenFeature)
        1    0.000    0.000    0.000    0.000 <string>:5(FixedLenSequenceFeature)
        1    0.000    0.000    0.000    0.000 <string>:5(FixedUnigramCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(Font)
        1    0.000    0.000    0.000    0.000 <string>:5(FractionalAvgPool)
        1    0.000    0.000    0.000    0.000 <string>:5(FractionalMaxPool)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(FusedBatchNorm)
        1    0.000    0.000    0.000    0.000 <string>:5(FusedBatchNormGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(FusedBatchNormGradV2)
        1    0.000    0.000    0.000    0.000 <string>:5(FusedBatchNormV2)
        1    0.000    0.000    0.000    0.000 <string>:5(HasherSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(IdWeightPair)
        1    0.000    0.000    0.000    0.000 <string>:5(ImageProperties)
        1    0.000    0.000    0.000    0.000 <string>:5(IndexedSlicesValue)
        1    0.000    0.000    0.000    0.000 <string>:5(LSTMStateTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(LearnedUnigramCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(ListDiff)
        1    0.000    0.000    0.000    0.000 <string>:5(LogMatrixDeterminant)
        1    0.000    0.000    0.000    0.000 <string>:5(LogUniformCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(LookupTableExport)
        1    0.000    0.000    0.000    0.000 <string>:5(LookupTableExportV2)
        1    0.000    0.000    0.000    0.000 <string>:5(LossSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(MapUnstageNoKey)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(MaxPoolWithArgmax)
        1    0.000    0.000    0.000    0.000 <string>:5(Merge)
        1    0.000    0.000    0.000    0.000 <string>:5(MetricInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(OrderedMapUnstageNoKey)
        1    0.000    0.000    0.000    0.000 <string>:5(Page)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseExample)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseSingleSequenceExample)
        1    0.000    0.000    0.000    0.000 <string>:5(Path)
        1    0.000    0.000    0.000    0.000 <string>:5(Qr)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizeDownAndShrinkRange)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizeV2)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedAdd)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedAvgPool)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedBatchNormWithGlobalNormalization)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedBiasAdd)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedConcat)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedConv2D)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedInstanceNorm)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedMatMul)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedMaxPool)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedMul)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedRelu)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedRelu6)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedReluX)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedReshape)
        1    0.000    0.000    0.000    0.000 <string>:5(QuantizedResizeBilinear)
        1    0.000    0.000    0.000    0.000 <string>:5(ReaderRead)
        1    0.000    0.000    0.000    0.000 <string>:5(ReaderReadUpTo)
        1    0.000    0.000    0.000    0.000 <string>:5(ReaderReadUpToV2)
        1    0.000    0.000    0.000    0.000 <string>:5(ReaderReadV2)
        1    0.000    0.000    0.000    0.000 <string>:5(RefMerge)
        1    0.000    0.000    0.000    0.000 <string>:5(RefSwitch)
        1    0.000    0.000    0.000    0.000 <string>:5(RegisteredOption)
        1    0.000    0.000    0.000    0.000 <string>:5(RequantizationRange)
        1    0.000    0.000    0.000    0.000 <string>:5(Requantize)
        1    0.000    0.000    0.000    0.000 <string>:5(SampleDistortedBoundingBox)
        1    0.000    0.000    0.000    0.000 <string>:5(SampleDistortedBoundingBoxV2)
        1    0.000    0.000    0.000    0.000 <string>:5(SdcaOptimizer)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SelfAdjointEigV2)
        1    0.000    0.000    0.000    0.000 <string>:5(ServingInputReceiver)
        1    0.000    0.000    0.000    0.000 <string>:5(SessionRunArgs)
